entity_id,entity_label,relation_id,Question
Q7091435,On the Nickel,P136,what genre is the film on the nickel
Q104994,Los Angeles County,R131,What is the name of a place located in los angeles county california
Q3294052,Mark DiFelice,P413,What is mark difelice position 
Q428672,Shmuel Salant,P19,which city was shmuel salant born
Q7637680,Summertide,P50,who authored summertide
Q7365833,Ronnie Burns,P20,Which city did ronnie burns die in
Q13582652,civil engineer,R106,Name an english civil engineer
Q503538,Towns County,P138,Who was towns county named after
Q8058931,Your Show Time,P495,where did the tv program your show time originate from
Q766445,Okinawa Prefecture,R19,what woman was born in okinawa prefecture
Q6656486,Live at Tin Angel,P175,Who is the album live at tin angel by
Q4308215,John Moores,P21,What is john moores gender
Q4729974,All for a Girl,P136,What type of film is all for a girl
Q956355,Diamond,R19,Who was born in diamond
Q910695,March or Die,P136,What type of film is march or die
Q3519134,Masada: Tet,P136,Where kind of album is tet
Q5389642,Erkan Sulejmani,P413,What position does footballer erkan sulejmani play
Q153868,4384 Henrybuhl,P397,what does (4384) 1990 aa orbit around
Q1213408,Peter Muller,P21,What is the sex of peter muller
Q15486802,David Kirby,P27,What was the nationality of david kirby
Q1572362,It Was the Best of Times,P175,who is the singer of it was the best of times
Q3282054,Malik Asselah,P413,what is malik asselah position in soccer
Q7175853,Peter Menzies,R344,what film did peter menzies jr do cinematography for
Q7328528,Richard Pryor: Live on the Sunset Strip,P364,what language is richard pryor: live on the sunset strip in 
Q4790844,Aris T Allen,P27,What country is aris t allen from
Q1893261,Marcell Takacs,P413,what position does marcell takacs play in soccer
Q1041909,Carlo Boszhard,P21,What is carlo boszhard gender
Q36180,writer,R106,what British science fiction author and writer specializes in dark hard science fiction and space opera
Q1292432,Terry Carr,R50,what is one of terry carrs written works
Q65,Los Angeles,R19,Which famous cinematographer was born in los angeles
Q583470,Steve Walsh,P27,What is steve walsh nationality
Q76579,Georgius Agricola,P27,what is the nationality of georgius agricola
Q7820891,Tonet,P19,in what country was tonet born
Q7091297,On the Beat,P136,what kind of music is on on the beat
Q401383,Ahmed Marcouch,P106,What is Ahmed Marcouch profession
Q7328281,Richard Parnell Habersham,P106,what is the profession of richard parnell habersham
Q7743116,The Jerky Boys: The Movie,P272,WHich production company did the jerky boys: the movie
Q1645442,Portlandia,P364,what language is portlandia written in
Q3038,Heligoland,R19,who is  a person that was born in  heligoland
Q35765,Osaka,R19,what musician was born in osaka
Q2964743,Chris Hume,P106,What is the profession of chris hume
Q3544737,Victor Basa,P19,Where was victor basa born
Q3244733,Hayato Yano,P413,what position did hayato yano play
Q281404,Kevin McCarthy,P20,Where was kevin mccarthy (actor) place of death
Q550265,3469 Bulgakov,P397,what star does  3469 bulgakov orbit
Q3569503,Withlacoochee River,P403,What is at the mouth of the withlacoochee river
Q146143,1933 Tinchen,P31,what type of celestial object is 1933 tinchen
Q74939,Kurt Bolender,P20,Where did kurt bolender pass away
Q7377158,Rudolf Brehmer,P607,in which conflict did rudolf brehmer participate 
Q1052054,Cayucos,P131,which county does cayucos belong to
Q4315933,Darwan Singh Negi,P607,What war did darwan singh negi participate in
Q11093,Valerie Solanas,P20,where did valerie solanas pass away
Q7049742,Noon at Ngayon: Pagsasamang Kay Ganda,P495,WHich nation filmed then and now
Q55408,Hrishikesh Mukherjee,R57,what the title of a hrishikesh mukherjee film
Q4126954,Enemies Closer,P364,what is the language of the film enemies closeri
Q390779,Arabella,P407,what language is arabella in
Q3479672,Sergio Myers,P19,What is Sergio Myers' place of birth
Q83440,country music,R136,What a country album by johnny cash
Q12078,cancer,R509,which johnny died from cancer
Q2623036,13792 Kuscynskyj,P31,What kind of celestial body is 13792 kuscynskyj
Q603075,Prince Alfonso de Bourbon Duke of Cadiz,P140,which religion is alfonso duke of anjou and cadiz
Q749047,Haruki Kadokawa,R162,what is a movie produced by haruki kadokawa
Q4764669,Anil Sharma,R162,what film did anil sharma produce 
Q5002178,Buster Rhymes,P19,What city was buster rhymes born in
Q14950673,Joe Cusack,P21,what joe cusack gender
Q2415347,Deadly Blessing,P495,what country is deadly blessing from
Q1171556,Cradle Will Rock,P344,who did the cinematography for the film cradle will rock
Q510397,Sandro Puppo,P21,is sandro puppo male or female
Q41323,American football,R641,Name an american football sports team
Q39829,Stephen King,R58,What television series is an adaptation of a novel by stephen king
Q1007,Guinea-Bissau,P421,which time zone is guinea-bissau in
Q262802,Christine Sinclair,P19,Where in canada was christine sinclair born
Q4661277,Aaina,P57,who directed aaina
Q3710055,Sergey Yablonsky,P20,which city did sergey yablonsky die
Q3434241,Rob Townsend,P136,What kind of music is rob townsend
Q208850,single-player video game,R404,Name a single-player video game
Q678437,Montclair,R19,who was born in montclair
Q3794894,The Monster That Challenged the World,P136,which genre does the film the monster that challenged the world belong to
Q860750,racing video game,R136,What is an example of a racing game
Q822413,Bernard Fanning,P264,who is bernard fanning signed with
Q13595311,Joel Coen,R58,What is a film that was written by joel coen
Q809118,Barry Zito,P413,What position does barry zito play
Q504463,Jan Sverak,P172,What is jan sverak ethnicity
Q1333364,Michael Baigent,R50,what did michael baigent write
Q167986,In Trance,P136,what is the genre of the album in trance
Q2274654,Gremlin Interactive,R178,What is a game developed by gremlin interactive
Q2903678,William McCutcheon,P19,where was  william mccutcheon born
Q20438283,Monika Veres,P27,Where is monika veres from
Q83440,country music,R136,what are american country music bands
Q1050571,catcher,R413,what right handed baseball player was the braves' catcher
Q7993791,Whirl Tour,P136,whirl tour is what type of video game
Q335080,Makoto Shinkai,R57,which film was  makoto shinkai the director of
Q37333,Lublin,R19,Who is an individual that was born in lublin
Q1792258,Kuno Popp,P20,where did kuno popp die
Q315540,Archibald Wavell 1st Earl Wavell,P607,which military conflict did archibald wavell 1st earl wavell participate in 
Q3505570,Susan Herndon,P21,What is the gender of susan herndon
Q3212804,The seventh target,P136,What style of film is the seventh target
Q732474,Harvey Kurtzman,P27,which country is harvey kurtzman from
Q14759972,The Enemy Inside,P86,who wrote the enemy inside
Q1230723,Louis-Gabriel-Charles Vicaire,P20,what city was louis-gabriel-charles vicaire born
Q25089,Woody Allen,R57,what is one of woody allen many films
Q41621,Haifa,R19,who was born in haifa
Q15712790,Angelica di Silvestri,P27,which country is angelica morrone di silvestri from
Q941023,Eastern Time Zone,R421,what the name of a town in the eastern daylight time zone
Q19204627,American football player,R106,Who is a famous american football player playing cornerback
Q147921,Bitter Rice,P495,where was the film bitter rice located
Q6390251,Kenneth J Warren,P20,where did kenneth j warren die
Q740516,Conan the Destroyer,P136,what is the genre of the film conan the destroyer
Q1363729,Kumi Naidoo,P21,what is the sex of kumi naidoo
Q16252651,The Lone Wolf Keeps a Date,P364,what language is spoken in the lone wolf keeps a date
Q6895044,multiplayer video game,R404,what a 2004 game that had a multiplayer program
Q668352,Calling All Cars,P123,Who is the publisher on the videogame calling all cars
Q7381049,Ruslan Sviridov,P27,what country is ruslan sviridov from
Q765783,HD 157819,P59,what constellation is hd 157819 in
Q2756904,Yogi Great Escape,P495,which country in north america is the movie yogi great escape from
Q7760093,The Rejected Woman,P495,what country made the film  the rejected woman
Q6390721,Kenneth Stover,P264,Which label is kenneth stover on
Q6115262,Jack Soo,P20,where did jack soo die
Q1325288,Oeyo,P40,who is the son of oeyo
Q696557,Bombing of Darwin,P276,Where did the bombing of darwin take place
Q16832088,Vidhya Unni,P21,Is vidhya unni a woman or man
Q716373,Phil Joanou,R57,Name a film directed by phil joanou
Q2965249,Christian Fabrice Okoua,P19,where was christian fabrice okoua born
Q7435072,The Clergyman,P364,what language is the clergyman available in
Q149305,2503 Liaoning,P397,around which celestial body does the 2503 liaoning asteroid moves around
Q170270,Friedrich Kalkbrenner,P106,What is the profession of friedrich kalkbrenner
Q10956161,Door Ki Awaaz,P86,whose music is in the film door ki awaaz
Q2702192,Disney Universe,P178,who developed disney universe
Q3616,Tehran,R19,what the name of a person born in tehran
Q3546604,Telefilm Canada,R272,what movie is produced by telefilm canada
Q1474376,Phenomena,P364,Which european language is phenomena filmed in
Q16252588,Once Upon a Time,P495,which country released the movie once upon a time
Q2325234,The Tower of Lies,P136,what a good descriptor of the tower of lies
Q2701232,Ken Jay,P21,what gender is ken jay
Q49451,progressive rock,R136,what is a progressive rock artist
Q3012576,The Saphead,P136,what genre is the saphead on netflix
Q152232,Womanlight,P136,what genre of film is womanlight
Q1644143,Johan Thorbjornsen,P413,What football position does johan thorbjornsen fill
Q4303000,Oleg Morozov,P27,what country gives oleg morozov his or her nationality
Q275314,Geraldine Brooks,P509,why did  geraldine brooks die
Q3718981,Edelmiro Arevalo,P413,What football position does edelmiro arevalo play
Q3499871,Damir Kreilach,P413,what position does damir kreilach play in football
Q7143125,Pasumpon,P364,in what language is the film pasumpon in
Q6077027,Pituka de Foronda,P21,is  pituka de foronda male or female
Q150169,Fire Emblem: The Sacred Stones,P179,what videogame series is fire emblem: the sacred stones from
Q5542135,George Mardikian,P20,Where did george mardikian die
Q7747,Vladimir Putin,P737,Who influenced Vladimir Putin
Q483412,The Chronicles of Narnia,R179,What a book from the the chronicles of narnia
Q7202044,Plastic Crimewave,P264,what label is the artist  plastic crimewave from
Q508225,Thom Fitzgerald,R58,What is a film written by thom fitzgerald
Q239371,Ai Fukuhara,P27,ai fukuhara is a citizen of what nation
Q193,Saturn,P398,which satellite was most recently discovered orbiting saturn
Q1424273,If I Were a Rich Man,P495,which country was if i were a rich man filmed in
Q754474,REC,P136,what genre does netflix think rec is
Q220,Rome,R19,Name a person born in rome
Q5235209,David Hudson,P27,what is the nationality of david hudson
Q4860673,Bari Koral,P27,what is bari koral nationality 
Q7640082,Sung Hwan Kim,P21,what is sung hwan kim gender
Q573159,Anthony Dowell,P21,what is anthony dowell gender
Q7857891,Twice the Speed of Life,P136,what kind of album is twice the speed of life
Q5610650,Grosvenor Park Productions,R272,what is a film produced by grosvenor park productions
Q936976,Henry IV of France,P40,who were the children of henry iv of france
Q7775275,The Witch Affair,P495,What country is the witch affair from
Q7512494,Sigmund Livingston,P140,what religion does sigmund livingston follow
Q2355741,Port Salerno,P131,where is port salerno in 
Q7718709,The Blow,P264,What label is the blow signed to
Q765041,Henry Tazewell,P21,What gender is henry tazewell
Q49451,progressive rock,R136,which artist performs progressive rock
Q11725,Chongqing,P17,what country is the city chongqing in
Q1483675,(9129) 1998 HU144,P196,where is (9129) 1998 hu144 located
Q7341161,"Robert ""Bucket"" Hingley",P106,"which profession does robert \\""bucket\\"" hingley belong to"
Q7505974,Shyamaprasad,P27,what nationality is shyamaprasad
Q2211168,Sadik Hakim,P19,where was sadik hakim born
Q34316,Doctor Who,R179,what type of episode is doctor who
Q3113510,Maria Takagi,P172,what is maria takagi ethnicity
Q185846,Chris Noonan,R58,what one film that chris noonan wrote
Q16146261,James Adams,P106,what is james adams occupation 
Q3814935,Khalil Allawi,P413,which position does khalil allawi play
Q7608322,Stephanie Lawrence,P19,Where was stephanie lawrence born
Q7185578,Phill Wilson,P19,in which city was phill wilson born
Q1399967,Theme Park World,P123,who published theme park world 
Q7770034,The Treasure Seekers,P495,Where is the film the treasure seekers from
Q7232362,Portraits in Moonlight,P136,What genre is the book portraits in moonlight
Q2241186,Steve Scheffler,P413,What position did steve scheffler play
Q4850077,Balaraju Katha,P57,who directed balaraju katha
Q719766,Ted Joans,P20,Where did ted joans die
Q1043600,Carmen,P264,What label did carmen record with 
Q584226,Underclass Hero,P136,Which genre of music is on the album titled underclass hero
Q6024866,Indila,P19,Where was indila born
Q7642979,Super ae,P175,Who made the album super ae
Q336286,defender,R413,whos someone who plays defender on a football team
Q745238,Paul Sorensen,P20,what is paul sorensen place of birth 
Q201330,goalkeeper,R413,Name a goalkeeper
Q3711,Belgrade,R19,name a person who was born in belgrade
Q6210897,Joe Leeway,P264,what company has joe leeway signed with
Q108597,Dave Brubeck,P136,what type of must does dave brubeck play
Q11817500,Piotr Grabowski,P19,Where was piotr grabowski born
Q11792043,Niki Sullivan,P1303,what instrument did niki sullivan play
Q6502807,Lavoura Arcaica,P495,what country is lavoura arcaica
Q845102,Rumble Fish,P144,What did rumble fish adapt from
Q497871,Clarendon County,R131,What town is located in clarendon county
Q11399,rock music,R136,what was Suzi Quatro sixth rock music album
Q5692662,Heartbreak,P175,Who recorded the album heartbreak
Q3067976,Miki 1,P136,is miki 1 j-pop or k-pop
Q639301,Yello,R175,What is the name of an album from yello
Q147739,Izmail,R19,what is the name of someone born in izmail
Q1579557,Hans Freudenberg,P21,what sex is hans freudenberg
Q20921,Daejeon,R19,Who was born in daejeon
Q358052,Adler Planetarium,P112,who was the founder of adler planetarium
Q15971215,Arthur George Hammond,P19,where was arthur george hammond born
Q865498,Powerpuff Girls Z,P136,powerpuff girls z is what type of tv show
Q625552,Francis Lister,P21,what is the sex of francis lister
Q6513474,Lee Dong-sik,P413,What soccer position does lee dong-sik hold
Q251098,The Donna Summer Anthology,P175,who is the artist of the donna summer anthology
Q887973,Bob Haney,R170,What characters has bob haney created
Q1066019,Charles Schnee,P20,What city in southern california did charles schnee die in
Q2256891,Nothing,P175,who is the singer of nothing
Q772867,Robert Paynter,R344,What film was done by the cinematographer robert paynter
Q1048902,pitcher,R413,Who played pitcher for the oakland a
Q5516790,Gagame Feni,P413,What football position does gagame feni play
Q2907467,Pinchas Goldschmidt,P21,what sex is pinchas goldschmidt
Q130232,drama film,R136,what are examples of dramas
Q136780,1176 Lucidor,P31,what kind of astrological body is 1176 lucidor
Q34740,genus,R105,what is the organism classification of genus
Q296796,Dino De Laurentiis,R162,What film is produced by Dino de Laurentils
Q903257,Peggy Sue Got Married,P495,which country is the film peggy sue got married released in
Q12054356,Silas Casey,P27,which country is silas casey from
Q6883544,Mitti,P495,which country was mitti made in
Q5434617,Far Wes,P175,Far wes is an album by what guitarist
Q234216,Bethany Hamilton,P19,Where did the birth of bethany hamilton take place
Q1372074,Josh Ritter,P136,what genre does the artist josh ritter perform
Q183504,indie rock,R136,what is an indie rock album
Q647282,La terrazza,P57,who directed the film la terrazza
Q2085736,The World,P136,what kind of movie is the world
Q1763846,The Road to You,P175,who is the musician that created the road to you
Q2784843,Raymond Bossaerts,P21,What is raymond bossaerts gender
Q9256,Andromeda,R59,The constellation andromeda (constellation) is located where
Q32277,Virgin Atlantic,P113,which airport is hub for virgin atlantic
Q3829187,Three Guys Named Mike,P495,What country produced the film Three Guys Named Mike
Q7080559,Oh What a Beautiful Morning,P175,who released oh what a beautiful morning
Q11863501,Hobitit,P364,What language is used in the tv program hobitit
Q894846,Mission to Moscow,P57,Who directed the film mission to moscow
Q362,World War II,R607,who was a prominent figure in world war ii
Q1764292,Robinsonekspedisjonen,P495,what country did the tv show  robinsonekspedisjonen come from
Q71073,Gustav Schubler,P172,What is the ethnicity of gustav schubler
Q596110,Fuji River,P403,What is the mouth of the fuji river
Q823107,Bernardsville,P131,which country locates bernardsville new jersey
Q7069487,Number 17,P364,in what language was number 17 filmed in 
Q7710804,Tharon Musser,P20,where was the place that tharon musser died 
Q1050571,catcher,R413,whats the name of baseball catcher
Q2467066,Yoshimar Yotun,P21,What gender is yoshimar yotun
Q6415432,Kirk Fox,P19,where in southern california was kirk fox born
Q1782272,Karate Kommandos,P495,Where does karate kommandos come from
Q669655,3017 Petrovic,P31,is 3017 petrovic an asteroid or a star
Q57231,Tom Tykwer,R162,what film did tom tykwer produce
Q7512963,Significant Others,P155,what is the previous work on significant others
Q266473,Una Merkel,P20,where did una merkel spend his last day alive
Q5510498,Futbolilits,P364,What language is futbolilits in
Q606594,Maryland Heights,P131,which county is maryland heights missouri in 
Q1274453,Michael Tollin,R57,What film did mike tollin direct
Q7033389,Night Owl,P136,what type of movie is night owl
Q5907306,Hosea Taylor,P27,what country is hosea taylor a citizen of
Q2092920,Levon Sayan,P21,what gender is levon sayan
Q763858,The Fatal Mallet,P162,who produced the film the fatal mallet
Q4004081,Un tango dalla Russia,P495,What country is the film un tango dalla russia from
Q7373491,Roy White,P413,what position does roy white play
Q5126643,Clarence Lee Swartz,P27,what is the nationality of clarence lee swartz
Q1513688,Greek Revival architecture,R149,what church is an example of greek revival architecture
Q2020013,Kathryn Forbes,P27,what is kathryn forbes nationality
Q2422421,Micheal O Domhnaill,P27,which country is micheal O domhnaill from
Q6893603,Mohan Upreti,P19,Where was mohan upreti born
Q6174722,Jeff Price,P27,What country is jeff price a citizen of
Q5671493,Harry Pattee,P413,which infield position did harry pattee play
Q1368417,Wally Herger,P27,which country is wally herger from
Q160778,Kai Hansen,P19,What is the place of birth of kai hansen
Q877473,Jorg Hahnel,P413,What position does jorg hahnel play
Q128708,Alexander Mackenzie,P21,is alexander mackenzie male or female
Q6516810,Left Behind: Eternal Forces,P404,What gameplay mode is left behind: eternal forces
Q16218622,Willie Limond,P21,what is willie limond gender
Q16005865,John Platt,P27,form what country is john platt from
Q2150804,Kim Weiskopf,P21,Is kim weiskopf female or male
Q831593,Johann Adam Ackermann,P27,Where is johann adam ackermann from
Q486043,Benzie County,R131,whats the name of a lake in benzie county michigan
Q207544,L Frank Baum,P40,Who is a child of l frank baum
Q315346,Thomas Moore,P19,where was thomas moore born
Q538274,Faceless,P136,What kind of metal is featured on the album faceless
Q585659,Quintin Berry,P21,which gender is quintin berry
Q2449461,A Woman,P162,who produced the film a woman
Q213572,Neue Deutsche Harte,R136,What is the name of an artist from the neue deutsche harte genre
Q3287722,Marc-Eric Guei,P27,what coast does was nominated for Classical Album of the Year declare nationality
Q29658,To Rome with Love,P495,What country produced to rome with love
Q7519734,Simon Scardifield,P27,what nationality is simon scardifield
Q448951,Flozell Adams,P413,What position does flozell adams play
Q7732,Louis XVI of France,P40,Who is louis xvi of france son
Q286080,acoustic music,R136,Who was an artist for the music genre acoustic music
Q1035251,Cara-Beth Burnside,P19,Where was cara-beth burnside born
Q208850,single-player video game,R404,what is a game with single-player arcade game
Q558628,6289 Lanusei,P196,what is (6289) 1984 hp1 a member of
Q5539395,George Fowler Hastings,P607,which war did george fowler hastings participate in 
Q15485701,Minnette Vari,P19,Where was minnette vari born
Q489939,Jefferson County,P138,Which notable figure was jefferson county named after
Q10277902,I Want it All,P50,Who is the author of the book all i want is everything
Q646980,Aldershot,R19,Who was born in aldershot
Q888203,Robert Docking,P607,what did robert docking participate in
Q46185,bass guitar,R1303,Who played the bass guitar in the band The Whitlams
Q184586,Gareth Bale,P413,What soccer position does gareth bale hold
Q5300655,Doug Lea,P27,what is the nationality of doug lea
Q500612,Judwaa,P57,who directed judwaa
Q7344341,Robert Finigan,P21,What gender is robert finigan
Q11767850,Marcin Walewski,P27,What is marcin walewski nationality
Q12810870,Mihran Damadian,P19,mihran damadian was born in this ancient capital now named Istanbul 
Q346762,Freddie Hubbard,P20,Where did freddie hubbard die
Q4316345,Q4316345,P495,what country is nezrimyy puteshestvennik filmed in 
Q3545193,Mayuko Takata,P27,which country is mayuko takata from
Q7358675,Roger Moore,P27,where is roger moore from
Q5297369,Dora Dunking Doughnuts,P364,What language do the characters speak in dora dunking doughnuts
Q1122047,Quack Pack,P364,which language is used in quack pack
Q12387051,116,P136,What genre of film is 116
Q19204627,American football player,R106,Name a professional american football player
Q201330,goalkeeper,R413,Name a football goalkeeper
Q873419,Mocca,P136,what kind of music does mocca make
Q142210,1676 Kariba,P397,which orbit is related to 1676 kariba
Q7613840,Steve Sandalis,P27,Where is steve sandalis from
Q711857,Oleksandr Radchenko,P27,what is the nationality of oleksandr radchenko
Q71206,Bette Davis,P19,where in Massachusetts is bette davis from 
Q112456,Amite County,R131,what is a town within amite county mississippi 
Q7287403,Ralph Docker,P20,where did ralph docker die at
Q737861,House Party 2,P272,Who was the production company for the film house party 2
Q3518748,Visiting Hours,P495,what country is the film  visiting hours from
Q110434,Bogislaw von Bonin,P19,what was the birthplace of bogislaw von bonin
Q1395485,Made in Germany Live,P136,What is the genre of music found on the made in germany live
Q587593,Lev Chernyi,P19,where in russia was lev chernyi born in
Q1305043,A Place of Execution,P50,Who authored a place of execution
Q858523,stealth game,R136,what is an example of a stealth game
Q2161266,Rodolphe d'Erlanger,P20,Where did rodolphe derlanger die
Q3044734,Superscape,R178,what is a computer video game developed by superscape
Q16750562,Mario Jackson,P19,Where was mario william jackson born
Q1614896,Herwig Seebock,P19,What city was herwig seebock born in
Q5703123,Helen Sewell,P27,What country is helen sewell from
Q153169,4248 Ranald,P31,what kind of celestial object is 4248 ranald
Q130232,drama film,R136,Name a 2007 film drama
Q506151,Hamilton County,R131,what hud place is located in hamilton county
Q11098560,Ilse Lehiste,P20,where in ohio is ilse lehiste place of death
Q2517358,Battles Without Honor and Humanity,P136,What kind of film is battles without honor and humanity
Q319773,Morten Harket,P1303,what instrument can morten harket play
Q16059141,Leo Clarke,P21,Is leo clarke a man or woman
Q207536,The Matrix Revolutions,P58,who is the director of the matrix revolutions
Q465087,The Jazz Singer,P136,what film genre is the jazz singer
Q16859329,Johann Ferdinand Hertodt,P21,of which sex is johann ferdinand hertodt
Q1676386,J Robert King,P21,What gender is j robert king
Q958433,Junglee,P58,who was the writer of junglee
Q5006142,CKNagaraja Rao,P106,What is the profession that cknagaraja rao possesses 
Q2558063,Lev Grossman,P21,What gender is lev grossman
Q6768622,Mark Livolsi,R1040,which film did mark livolsi edit
Q1042996,19130 Tytgat,P31,what is 19130 tytgat
Q1524946,Ginga,P136,what type of music does ginga play 
Q269710,Fraser River,R177,which bridge is located on the fraser river
Q2056045,Passion Flower,P136,Which genre is the film passion flower part of
Q6696561,Lucha Villa,P106,what does lucha villa do for a living
Q1196554,Battle of Minorca,P710,what kingdom was involved in the battle of minorca
Q2455623,Zachary Hietala,P136,what genre does zachary hietala make
Q7292446,Randy Starks,P19,Where was randy starks born
Q201788,historian,R106,who is a professional historian
Q83440,country music,R136,what album is country
Q3299319,Jumbo Tsuruta,P21,which gender is jumbo tsuruta
Q4721703,Alf Joint,P21,What gender is alf joint
Q7325368,Richard E Ellsworth,P19,which city is richard e ellsworth from
Q2652795,Angela Christlieb,P27,what nationality is angela christlieb 
Q5021646,Call of the Canyon,P495,What country produced the film call of the canyon
Q484641,pop rock,R136,what album is a type of pop rock music
Q4930404,Blueprint,P404,what player mode is blue print played on
