entity_id,entity_label,relation_id,Question
Q6230278,John Duffey,P136,what kind of music does john duffey play
Q984029,Luigi Mansion,P287,Who a designer that worked on luigi mansion
Q668083,Seven Wishes,P175,who is the artist on seven wishes
Q154581,Gangs of New York,P86,who wrote the music for gangs of new york
Q1348496,Sophie Merry,P21,what is the gender of sophie merry
Q6687871,Louis N Parker,R58,What film story credits did louis n parker contribute to
Q5553855,Get Damned,P136,What genre of music is on the album get damned
Q5506118,Frontpage,P136,what kind of tv show is frontpage
Q6836909,Michelle Ashford,R58,what is an episode written by michelle ashford
Q56094,Francis Ford Coppola,R86,what movies has francis ford coppola contributed music to
Q1120576,Communist Party of Britain,P1142,which is the main ideology of the communist party of britain
Q3154598,Irvin Shapiro,P20,irvin shapiro passed away in which city
Q222052,center,R413,what former basketball played the center (basketball) position
Q43343,folk music,R136,what album has folk music
Q1219013,Thunderbolt and Lightfoot,P58,Who wrote the film thunderbolt and lightfoot
Q6249503,John Morris Russell,P19,where in the united states was john morris russell born
Q2023740,Imam Mustafayev,P21,what is imam mustafayev gender
Q2138789,Anthony Lane,P27,what country is anthony lane from
Q7680816,Tamara Oudyn,P19,Where was tamara oudyn born
Q6050048,Oliver Duff,P19,Where was oliver duff born
Q10280325,Fausto Fawcett,P21,what is fausto fawcett gender
Q7349401,Robert Roth,P136,what type of music is robert roth known for
Q3116899,Grog,P21,what is grog gender
Q154194,Generation Kill,P136,what type of film is generation kill
Q2605514,Webbie,P264,which recording label is webbie with
Q1075868,Chokoloskee,P131,What county has jurisdiction over chokoloskee florida
Q6221698,John Berry,P27,which country is john berry from 
Q6285529,Joseph Meyer,P106,What is joseph meyer job
Q13636457,Home,P136,What kind of book is home
Q147589,Kolo Toure,P172,kolo toure is of what ethnic background
Q5174096,Cosmic Ray,P495,what country is cosmic ray from
Q605186,Lorenzo Maitani,P27,what is the nationality of lorenzo maitani
Q5466725,For Freedom,P136,what is the genre of the film for freedom
Q29172,Zou Department,P150,what is the administrative child of zou
Q6012446,In the Line of Fire: A Memoir,P136,what genre is the book in the line of fire: a memoir
Q4707525,Alan Pierson,P21,What is Alan Pierson gender
Q7741195,The Hydrofoil Mystery,P136,what is the genre of the book the hydrofoil mystery
Q532474,Cube 2: Sauerbraten,P136,which video game genre is sauerbraten (game)
Q66832,Franz Roh,P27,What was the nationality of  franz roh
Q215506,Jerry Seinfeld,P738,Who influenced jerry seinfeld
Q11633,photography,P170,which photography artist is best known for the american west landscape
Q336167,Huron County,R131,what is a city located in huron county
Q132821,murder,R509,Which football player cause of death was murder
Q93204,documentary film,R136,What is an example of a documentary film
Q580,Lodz,R19,What actor was born in lodz
Q1090769,8668 Satomimura,P196,what member of asteroid group is 8668 satomimura a part of 
Q128758,satire,R136,what is a satire film from 1969
Q5363152,Elizabeth Malecki,P21,What gender is elizabeth malecki
Q6422107,Knife Edge,P136,what genre is knife edge 
Q974466,James Gillespie,P119,where was  james gillespie buried
Q1342,Pittsburgh,R19,who was born in pittsburgh
Q4906481,Big Sugar,P136,is big sugar a blues or contemporary rhythm and blues album 
Q17361420,Lanie Balcom,P21,lannie balcom self-identifies as which gender 
Q7351133,Robert Williams,P413,which position does robert williams play in american football
Q6607,guitar,R1303,who is an instrumentalist that plays the guitar
Q15378683,Alaska,P136,What is the genre of the film alaska
Q7723204,The City in the Autumn Stars,P50,Who wrote the book the city in the autumn stars
Q193752,John of Gaunt,R40,Who was a parent of john of gaunt 1st duke of lancaster
Q5106113,Chris Cash,P27,chris cash is what nationality
Q3088054,Love on a Diet,P136,Which netflix genre is love on a diet from
Q980200,Mike Nock,P1303,which music instrument is played by mike nock
Q710247,Leo Durocher,P413,leo durocher is what in relation to baseball
Q2377261,The Law Is the Law,P364,in what language is the the law is the law film spoken
Q718562,6945 Dahlgren,P61,who discovered 6945 dahlgren
Q637190,Code Lyoko,P136,What genre is the tv program code lyoko
Q5497332,Frederick Baldwin Adams,P27,Where is frederick baldwin adams from
Q133032,Hungarians,R172,Who a hungarian model
Q4374943,Ripper Man,P136,what type of film is ripper man
Q16223459,Joshua Smith,P21,what is joshua smith gender
Q7294392,Rapture Ruckus,P264,What label is rapture ruckus  signed to
Q3728410,Rob Schmidt,R57,Which film did rob schmidt direct
Q13156,Montilla,R19,Name a person born in montilla
Q724154,Mr Hankey Christmas Classics,P57,who was the director of mr hankey christmas classics 
Q206159,psychedelic rock,R136,What an example of a psychedelic rock album
Q12124483,Get a Clue,P136,what movie genre is get a clue 
Q150651,George Carlin,P140,which religion does george carlin belong to
Q164444,funk,R136,What is an example of a funk album
Q98643,Ottilie Assing,P27,Where is ottilie assing from
Q52354,Elmer McCollum,P20,where did  elmer verner mccollum pass away
Q189059,Mytilene,R19,Name someone who was born in mytilene
Q128581,breast cancer,R509,who was an actress died from breast cancer
Q130232,drama film,R136,what is a film in the genre drama
Q7194357,Pilot,P179,Which series has a pilot episode
Q200092,horror film,R136,what is a horror film
Q7605291,Stealing a Nation,P495,what country does the film stealing a nation take place in
Q5042233,Carlos Johnson,P136,which type of music genre does carlos johnson play in
Q786545,Thomas Sully,P19,Which town was thomas sully born 
Q225852,D A Pennebaker,R344,which documentary did d a pennebaker provide the cinematography
Q3194914,Kelly Shoppach,P413,What position does kelly shoppach play in baseball
Q568123,Dracula,P136,what kind of movie is dracula
Q272076,Dean Koontz,R58,What was the film story credits done by dean koontz
Q7914811,Vanguard,P364,what languages is vanguard in
Q82955,politician,R106,what is politician is founder and chairperson of Queens University Bangladesh
Q195768,Constance Markievicz,P140,what is constance markiewicz religion
Q18648361,Film life goes on,P364,What language is spoken in the film life goes on
Q312782,Bob Woodward,R40,who is the parent of bob woodward
Q2422991,Knight Lore,P136,what kind of game is knight lore
Q269585,Gregory La Cava,R57,what film does gregory la cava direct
Q2662148,Celtic rock,R136,what artist makes celtic rock
Q2883930,Barbara Cook,P19,What is the place of barbara cook birth
Q4346512,Claire Stansfield,P27,What is Claire Stansfield nationality
Q1143118,interactive fiction,R136,What is the name of an interactive fiction game
Q7708817,Thaayillamal Naan Illai,P1040,Who edited the film i cannot live without my mother
Q124112,Michel Simon,P509,What was the cause of death of michel simon
Q41548,Antonio Banderas,P27,What is the nationality of antonio banderas
Q3136453,His Majesty the American,P364,in what language was his majesty the american filmed
Q2577628,Willy Wild,P27,which country is willi wild from
Q598834,Criciuma Esporte Clube,P641,What sport is criciuma esporte clube a part of
Q4680824,Adario Strange,P21,is adario strange male or female
Q559514,Wittlich,R19,Who is someone born in wittlich
Q12214,smallpox,R509,which historical figure was killed by smallpox
Q7091435,On the Nickel,P136,what genre is the film on the nickel
Q645928,biographical film,R136,what is a biographical film
Q104994,Los Angeles County,R131,What is the name of a place located in los angeles county california
Q3294052,Mark DiFelice,P413,What is mark difelice position 
Q428672,Shmuel Salant,P19,which city was shmuel salant born
Q7637680,Summertide,P50,who authored summertide
Q159416,Naser al-Din Shah Qajar,P509,How was naser al-din shah qajar killed
Q7365833,Ronnie Burns,P20,Which city did ronnie burns die in
Q197281,Zhang Rang,P509,how did zhang rang die
Q13582652,civil engineer,R106,Name an english civil engineer
Q2405480,voice actor,R106,what is the name of a professional  voice actor
Q503538,Towns County,P138,Who was towns county named after
Q8058931,Your Show Time,P495,where did the tv program your show time originate from
Q766445,Okinawa Prefecture,R19,what woman was born in okinawa prefecture
Q6656486,Live at Tin Angel,P175,Who is the album live at tin angel by
Q6283402,Joseph George Rosengarten,P19,where was the birthplace of joseph george rosengarten
Q4308215,John Moores,P21,What is john moores gender
Q4729974,All for a Girl,P136,What type of film is all for a girl
Q956355,Diamond,R19,Who was born in diamond
Q5088967,Chebanse Township,P421,What time zone does the chebanse township use
Q910695,March or Die,P136,What type of film is march or die
Q3519134,Masada: Tet,P136,Where kind of album is tet
Q5389642,Erkan Sulejmani,P413,What position does footballer erkan sulejmani play
Q153868,4384 Henrybuhl,P397,what does (4384) 1990 aa orbit around
Q20378,alternative metal,R136,what artist makes alternative metal
Q1213408,Peter Muller,P21,What is the sex of peter muller
Q15486802,David Kirby,P27,What was the nationality of david kirby
Q1572362,It Was the Best of Times,P175,who is the singer of it was the best of times
Q3282054,Malik Asselah,P413,what is malik asselah position in soccer
Q7175853,Peter Menzies,R344,what film did peter menzies jr do cinematography for
Q7328528,Richard Pryor: Live on the Sunset Strip,P364,what language is richard pryor: live on the sunset strip in 
Q4790844,Aris T Allen,P27,What country is aris t allen from
Q1893261,Marcell Takacs,P413,what position does marcell takacs play in soccer
Q1041909,Carlo Boszhard,P21,What is carlo boszhard gender
Q202663,Wyclef Jean,P136,what island music does wyclef jean create
Q36180,writer,R106,what British science fiction author and writer specializes in dark hard science fiction and space opera
Q8036432,World War II in Colour,P136,"What type of film genre is ""World War II in HD Coulour"""
Q1292432,Terry Carr,R50,what is one of terry carrs written works
Q65,Los Angeles,R19,Which famous cinematographer was born in los angeles
Q1186280,Democratic Party,P1142,what ideology does the democratic party follow
Q9503,suspense,R136,what is a suspense film
Q583470,Steve Walsh,P27,What is steve walsh nationality
Q438503,alternative hip hop,R136,which artist performs the alternative hip hop genre
Q76579,Georgius Agricola,P27,what is the nationality of georgius agricola
Q10535968,Jamie Masson,P27,What is the nationality of jamie masson
Q7820891,Tonet,P19,in what country was tonet born
Q3400887,Dyshi,P407,What language was dyshi recorded in
Q5429952,Fair and Worm-er,P136,what type of film is fair and worm-er released as
Q7091297,On the Beat,P136,what kind of music is on on the beat
Q525,Sun,P398,which asteroid orbits around the sun
Q4149559,Anthony Green,P136,what genre does the artist anthony green (musician) perform in
Q401383,Ahmed Marcouch,P106,What is Ahmed Marcouch profession
Q1787206,Windsor,R19,Name someone who was born in windsor
Q1296639,Stratos Apostolakis,P413,Which position did stratos apostolakis play
Q228992,Life-Size,P136,What kind of netflix film is life-size
Q7328281,Richard Parnell Habersham,P106,what is the profession of richard parnell habersham
Q7743116,The Jerky Boys: The Movie,P272,WHich production company did the jerky boys: the movie
Q7932701,Vinny deMacedo,P140,what religion is vinny demacedo a part of 
Q1645442,Portlandia,P364,what language is portlandia written in
Q694052,SPV,R264,Who is an artist from the spv gmbh record label
Q3960677,Silvano Tranquilli,P509,what did silvano tranquilli die of
Q3038,Heligoland,R19,who is  a person that was born in  heligoland
Q35765,Osaka,R19,what musician was born in osaka
Q2964743,Chris Hume,P106,What is the profession of chris hume
Q3544737,Victor Basa,P19,Where was victor basa born
Q3244733,Hayato Yano,P413,what position did hayato yano play
Q281404,Kevin McCarthy,P20,Where was kevin mccarthy (actor) place of death
Q550265,3469 Bulgakov,P397,what star does  3469 bulgakov orbit
Q3634696,Barbara Turner,P413,what is the position played by barbara turner
Q1635514,Psycho III,P136,is psycho iii a psychological thriller or comedy
Q1777268,Death du Jour,P136,what type of book is death du jour
Q3569503,Withlacoochee River,P403,What is at the mouth of the withlacoochee river
Q146143,1933 Tinchen,P31,what type of celestial object is 1933 tinchen
Q74939,Kurt Bolender,P20,Where did kurt bolender pass away
Q7783676,They Came from the Sun,P136,what genre is they came from the sun
Q715010,Manimal,P136,what type of show is manimal
Q11366,alternative rock,R136,what is an alternative rock album
Q7377158,Rudolf Brehmer,P607,in which conflict did rudolf brehmer participate 
Q1052054,Cayucos,P131,which county does cayucos belong to
Q4315933,Darwan Singh Negi,P607,What war did darwan singh negi participate in
Q11093,Valerie Solanas,P20,where did valerie solanas pass away
Q17091147,Vulfpeck,P136,what kind of music does vulfpeck sing
Q7049742,Noon at Ngayon: Pagsasamang Kay Ganda,P495,WHich nation filmed then and now
Q7405215,Sally Mansfield,P509,what cause the death of sally mansfield
Q55408,Hrishikesh Mukherjee,R57,what the title of a hrishikesh mukherjee film
Q5071149,Chandler Beach,P106,What profession is chandler beach
Q4126954,Enemies Closer,P364,what is the language of the film enemies closeri
Q390779,Arabella,P407,what language is arabella in
Q6132601,James DiPaola,P509,how did james dipaola die
Q3479672,Sergio Myers,P19,What is Sergio Myers' place of birth
Q83440,country music,R136,What a country album by johnny cash
Q12078,cancer,R509,which johnny died from cancer
Q2623036,13792 Kuscynskyj,P31,What kind of celestial body is 13792 kuscynskyj
Q7204222,Please Help the Pore,P136,what film genre is please help the pore
Q5048515,Casey Hudson,R287,cvg designer casey hudson designed what game
Q1054574,romance film,R136,What is a South Korean romance film from 2011
Q603075,Prince Alfonso de Bourbon Duke of Cadiz,P140,which religion is alfonso duke of anjou and cadiz
Q749047,Haruki Kadokawa,R162,what is a movie produced by haruki kadokawa
Q4764669,Anil Sharma,R162,what film did anil sharma produce 
Q5002178,Buster Rhymes,P19,What city was buster rhymes born in
Q14950673,Joe Cusack,P21,what joe cusack gender
Q11399,rock music,R136,whats the name of a rock music musician
Q828,Americas,R19,who is a person that was born in the americas
Q2415347,Deadly Blessing,P495,what country is deadly blessing from
Q1171556,Cradle Will Rock,P344,who did the cinematography for the film cradle will rock
Q510397,Sandro Puppo,P21,is sandro puppo male or female
Q41323,American football,R641,Name an american football sports team
Q39829,Stephen King,R58,What television series is an adaptation of a novel by stephen king
Q105527,jazz fusion,R136,what a jazz fusion by pierre moerlen gong
Q11425,animation,R136,What is the name of an animation film
Q15040737,Kamillions,P136,kamillions is what type of film
Q1007,Guinea-Bissau,P421,which time zone is guinea-bissau in
Q984634,Dr Rajkumar,P509,what was the reason for rajkumars death
Q1053252,Cem Can,P413,What position does cem can play in soccer
Q333637,Well Just You Wait,P136,What genre is the tv show nu pogodi
Q262802,Christine Sinclair,P19,Where in canada was christine sinclair born
Q4661277,Aaina,P57,who directed aaina
Q3710055,Sergey Yablonsky,P20,which city did sergey yablonsky die
Q3434241,Rob Townsend,P136,What kind of music is rob townsend
Q208850,single-player video game,R404,Name a single-player video game
Q678437,Montclair,R19,who was born in montclair
Q2605579,I'll Be over You,P407,what language is i'll be over you composed in 
Q6339891,KVAL-TV,P1408,What city does kval-tv broadcast to
Q1157349,Dagoba,P136,What type of metal does dagoba perform
Q3794894,The Monster That Challenged the World,P136,which genre does the film the monster that challenged the world belong to
Q25989,Central European Time,R421,what is located in the central european time zone
Q9759,blues,R136,What is the name of a blues album
Q2294674,Bare,P136,What type of music is the album bare (annie lennox album)
Q17417,Odalengo Grande,P421,what is the time zone of odalengo grande
Q860750,racing video game,R136,What is an example of a racing game
Q822413,Bernard Fanning,P264,who is bernard fanning signed with
Q12706,Maxim Gorky,P738,whom did  maxim gorky influence
Q165691,Love Affair,P264,what label is the artist love affair apart of
Q13595311,Joel Coen,R58,What is a film that was written by joel coen
Q1931639,Get Ready,P136,what type of music is on get ready
Q5539359,George Formby Sr,P27,what country is george formby from
Q809118,Barry Zito,P413,What position does barry zito play
Q3259696,City of Angels,P136,what kind of show is city of angels
Q504463,Jan Sverak,P172,What is jan sverak ethnicity
Q1333364,Michael Baigent,R50,what did michael baigent write
Q7460805,Shadows in Flight,P136,whats the genre for the book titled shadows in flight
Q167986,In Trance,P136,what is the genre of the album in trance
Q2274654,Gremlin Interactive,R178,What is a game developed by gremlin interactive
Q592330,dream pop,R136,what what dream pop painted on
Q2903678,William McCutcheon,P19,where was  william mccutcheon born
Q5909549,Hot Live and Otherwise,P136,what type of album is hot live and otherwise
Q794148,Aztec Camera,P136,What type of music genre is Aztec Camera
Q570545,Jason Nevins,P136,what kind of music does jason nevins play
Q289,television,R136,what is the title of a netflix television show
Q20438283,Monika Veres,P27,Where is monika veres from
Q83440,country music,R136,what are american country music bands
Q17023163,Little Queenie,P86,Who composed the little queenie song
Q494306,Silent Light,P364,what is the primary language of silent light
Q2081339,Disneytoon Studios,R272,What is the name of a film put out by disneytoon studios
Q1050571,catcher,R413,what right handed baseball player was the braves' catcher
Q7993791,Whirl Tour,P136,whirl tour is what type of video game
Q335080,Makoto Shinkai,R57,which film was  makoto shinkai the director of
Q512535,Fayez al-Tarawneh,P140,what faith does fayez tarawneh follow
Q37333,Lublin,R19,Who is an individual that was born in lublin
Q1792258,Kuno Popp,P20,where did kuno popp die
Q315540,Archibald Wavell 1st Earl Wavell,P607,which military conflict did archibald wavell 1st earl wavell participate in 
Q268078,The Runaway Jury,P136,what type of genre is the book the runaway jury
Q7979149,Wedge: The Secret War between the FBI and CIA,P364,what language was wedge: the secret war between the fbi and cia originally in 
Q3505570,Susan Herndon,P21,What is the gender of susan herndon
Q3212804,The seventh target,P136,What style of film is the seventh target
Q732474,Harvey Kurtzman,P27,which country is harvey kurtzman from
Q14759972,The Enemy Inside,P86,who wrote the enemy inside
Q1230723,Louis-Gabriel-Charles Vicaire,P20,what city was louis-gabriel-charles vicaire born
Q25089,Woody Allen,R57,what is one of woody allen many films
Q41621,Haifa,R19,who was born in haifa
Q15712790,Angelica di Silvestri,P27,which country is angelica morrone di silvestri from
Q941023,Eastern Time Zone,R421,what the name of a town in the eastern daylight time zone
Q312886,Lucas Moura,P413,what position is lucas moura charged of
Q19204627,American football player,R106,Who is a famous american football player playing cornerback
Q147921,Bitter Rice,P495,where was the film bitter rice located
Q7732102,The End of Silliness,P136,Which genre is the end of silliness
Q11576,Raul Gonzalez Blanco,P413,What position does raul gonzalez blanco play in football
Q6390251,Kenneth J Warren,P20,where did kenneth j warren die
Q740516,Conan the Destroyer,P136,what is the genre of the film conan the destroyer
Q1363729,Kumi Naidoo,P21,what is the sex of kumi naidoo
Q2621621,15382 Vian,P397,what does 15382 vian revolve around
Q650906,Giovanni della Casa,P27,What country in europe is giovanni della casa from
Q1071873,Chicago blues,R136,what artist is from the genre chicago blues
Q16252651,The Lone Wolf Keeps a Date,P364,what language is spoken in the lone wolf keeps a date
Q6895044,multiplayer video game,R404,what a 2004 game that had a multiplayer program
Q6424755,Koch,P136,what type of movie is koch
Q578119,Doll Man,P170,who created the character doll man
Q5387709,Eric Watson,P19,eric watson was born in what island country
Q186360,nurse,R279,What a specialization for a nurse
Q5333876,Ecosse Films,R272,What a film from ecosse films
Q668352,Calling All Cars,P123,Who is the publisher on the videogame calling all cars
Q557632,Decca,R264,who is an artist under decca records
Q7116838,Ozenise me muzikom,P136,What genre of music is ozenise me muzikom
Q7381049,Ruslan Sviridov,P27,what country is ruslan sviridov from
Q41782,Besoin,P136,what music genre is besoin
Q765783,HD 157819,P59,what constellation is hd 157819 in
Q16196202,Tadeusz Pacholczyk,P19,Where was priest tadeusz pacholczyk born
Q2756904,Yogi Great Escape,P495,which country in north america is the movie yogi great escape from
Q7760093,The Rejected Woman,P495,what country made the film  the rejected woman
Q7267211,Qayamat: City Under Threat,P136,what kind of movie is qayamat: city under threat
Q6390721,Kenneth Stover,P264,Which label is kenneth stover on
Q6115262,Jack Soo,P20,where did jack soo die
Q1325288,Oeyo,P40,who is the son of oeyo
Q1899202,Marion Lake,P138,who was the V names after
Q7561122,Song of China,P136,to what genre does the film song of china belong
Q696557,Bombing of Darwin,P276,Where did the bombing of darwin take place
Q16832088,Vidhya Unni,P21,Is vidhya unni a woman or man
Q1141746,Analyze This,P1431,who was the executive producer of the film analyze this
Q716373,Phil Joanou,R57,Name a film directed by phil joanou
Q1189689,Denny Zeitlin,P264,Which music entertainment label is denny zeitlin under
Q2965249,Christian Fabrice Okoua,P19,where was christian fabrice okoua born
Q7435072,The Clergyman,P364,what language is the clergyman available in
Q5272822,Dick Dearden,P140,What religion is dick dearden
Q963426,Lyle Mays,P1303,what electronic instrument does lyle mays play 
Q5416358,Evelyn Kozak,P20,where did evelyn kozak pass away
Q149305,2503 Liaoning,P397,around which celestial body does the 2503 liaoning asteroid moves around
Q2086913,Central Time Zone,R421,What is a city located within north american central time zone
Q901441,Rescue Me,P170,Who created the program rescue me
Q205679,London Borough of Hackney,R19,who is a director born in london borough of hackney
Q10295500,High School,P86,Who composed high school
Q193592,midfielder,R413,who plays a midfielder position in football
Q170270,Friedrich Kalkbrenner,P106,What is the profession of friedrich kalkbrenner
Q10956161,Door Ki Awaaz,P86,whose music is in the film door ki awaaz
Q2702192,Disney Universe,P178,who developed disney universe
Q3616,Tehran,R19,what the name of a person born in tehran
Q3546604,Telefilm Canada,R272,what movie is produced by telefilm canada
Q1474376,Phenomena,P364,Which european language is phenomena filmed in
Q16252588,Once Upon a Time,P495,which country released the movie once upon a time
Q2325234,The Tower of Lies,P136,what a good descriptor of the tower of lies
Q2701232,Ken Jay,P21,what gender is ken jay
Q923911,The Orphanage,P136,What type of netflix film is the orphanage (2007 film)
Q5394090,Ernestine Hayes,P172,what ethnicity is ernestine hayes
Q469321,Maureen Flannigan,P106,what did maureen flannigan do as a profession
Q49451,progressive rock,R136,what is a progressive rock artist
Q3012576,The Saphead,P136,what genre is the saphead on netflix
Q152232,Womanlight,P136,what genre of film is womanlight
Q860626,romantic comedy,R136,whats a romantic comedy film released in 2014
Q6147160,Jamie Mallender,P136,what kind of genre does jamie mallender perform
Q1644143,Johan Thorbjornsen,P413,What football position does johan thorbjornsen fill
Q4303000,Oleg Morozov,P27,what country gives oleg morozov his or her nationality
Q93204,documentary film,R136,what is the name of a movie that is classified as a documentary film
Q275314,Geraldine Brooks,P509,why did  geraldine brooks die
Q3718981,Edelmiro Arevalo,P413,What football position does edelmiro arevalo play
Q3499871,Damir Kreilach,P413,what position does damir kreilach play in football
Q11399,rock music,R136,which rock music albums were released by bamboo manalac
Q7143125,Pasumpon,P364,in what language is the film pasumpon in
Q3458074,Hudson Falls,P421,what time zone includes hudson falls new york
Q3840684,Three Doors to Death,P364,which language is written in three doors to death
Q6077027,Pituka de Foronda,P21,is  pituka de foronda male or female
Q150169,Fire Emblem: The Sacred Stones,P179,what videogame series is fire emblem: the sacred stones from
Q785267,The Scout,P136,What type of film is the scout
Q5542135,George Mardikian,P20,Where did george mardikian die
Q7747,Vladimir Putin,P737,Who influenced Vladimir Putin
Q483412,The Chronicles of Narnia,R179,What a book from the the chronicles of narnia
Q11366,alternative rock,R136,Who a alternative rock musician that plays for statye
Q915845,Brighton Rock,P495,which country did the movie brighton rock come from
Q5080802,Charles McCreery,R40,Who is a parent of charles mccreery
Q7202044,Plastic Crimewave,P264,what label is the artist  plastic crimewave from
Q7290612,Rana,P364,what Indian language is spoken in the film rana
Q929840,The Addams Family,P364,which language is used in the addams family
Q508225,Thom Fitzgerald,R58,What is a film written by thom fitzgerald
Q239371,Ai Fukuhara,P27,ai fukuhara is a citizen of what nation
Q3285338,Comedy Central Roast,P136,what kind of program is comedy central roast
Q7437205,Scott Savol,P19,where in the united states was scott savol born at
Q193,Saturn,P398,which satellite was most recently discovered orbiting saturn
Q1424273,If I Were a Rich Man,P495,which country was if i were a rich man filmed in
Q754474,REC,P136,what genre does netflix think rec is
Q7184227,Philip Powell,P20,where did philip powell pass away
Q220,Rome,R19,Name a person born in rome
Q5235209,David Hudson,P27,what is the nationality of david hudson
Q4860673,Bari Koral,P27,what is bari koral nationality 
Q7640082,Sung Hwan Kim,P21,what is sung hwan kim gender
Q573159,Anthony Dowell,P21,what is anthony dowell gender
Q3708793,Pulteney,P421,what is the time zone of pulteney new york
Q7857891,Twice the Speed of Life,P136,what kind of album is twice the speed of life
Q5610650,Grosvenor Park Productions,R272,what is a film produced by grosvenor park productions
Q936976,Henry IV of France,P40,who were the children of henry iv of france
Q468826,Rita Redshoes,P136,what kind of rock is rita redshoes classified as
Q7775275,The Witch Affair,P495,What country is the witch affair from
Q7512494,Sigmund Livingston,P140,what religion does sigmund livingston follow
Q2355741,Port Salerno,P131,where is port salerno in 
Q7718709,The Blow,P264,What label is the blow signed to
Q6814019,Melvin L Stukes,P140,to what church does melvin l stukes belong
Q765041,Henry Tazewell,P21,What gender is henry tazewell
Q49451,progressive rock,R136,which artist performs progressive rock
Q11725,Chongqing,P17,what country is the city chongqing in
Q896851,Brad Owen,P140,what religion does brad owen practice
Q1483675,(9129) 1998 HU144,P196,where is (9129) 1998 hu144 located
Q6373686,Karunas,P136,what type of film is karunas
Q7341161,"Robert ""Bucket"" Hingley",P106,"which profession does robert \\""bucket\\"" hingley belong to"
Q7505974,Shyamaprasad,P27,what nationality is shyamaprasad
Q3548491,A Perfect Couple,P364,what language do the actors in un couple parfait speak
Q2211168,Sadik Hakim,P19,where was sadik hakim born
Q34316,Doctor Who,R179,what type of episode is doctor who
Q3113510,Maria Takagi,P172,what is maria takagi ethnicity
Q185846,Chris Noonan,R58,what one film that chris noonan wrote
Q16146261,James Adams,P106,what is james adams occupation 
Q3197020,King Lear,P136,what film genre is king lear
Q43023,Acquanegra sul Chiese,P421,Which time zone is acquanegra sul chiese located in
Q3814935,Khalil Allawi,P413,which position does khalil allawi play
Q7608322,Stephanie Lawrence,P19,Where was stephanie lawrence born
Q37653,Bakharwal Dog,P171,What is the higher classification of the bakharwal dog
Q7185578,Phill Wilson,P19,in which city was phill wilson born
Q1399967,Theme Park World,P123,who published theme park world 
Q1292464,Mehmed Spaho,P19,where was mehmed spaho born 
Q212431,installation art,P170,what artist made installation art
Q7770034,The Treasure Seekers,P495,Where is the film the treasure seekers from
Q7232362,Portraits in Moonlight,P136,What genre is the book portraits in moonlight
Q5532780,Genesi[s],P136,What style of music is the genesi[s] album
Q2241186,Steve Scheffler,P413,What position did steve scheffler play
